Date,ATC Coin,Aidos Kuneen,Ark,BitBay,BitConnect,BitShares,Bitcoin,Bitcoin Cash,BitcoinDark,Bitdeal,BlackCoin,Blocknet,Burst,Byteball Bytes,Bytecoin,Clams,CloakCoin,Compcoin,Counterparty,Crown,DECENT,Dash,Decred,Diamond,DigiByte,DigitalNote,Dogecoin,E-coin,Einsteinium,Elastic,Emercoin,Energycoin,Ethereum,Ethereum Classic,Expanse,Factom,FairCoin,FirstCoin,GXShares,Gambit,GameCredits,Golos,GridCoin,Groestlcoin,Gulden,Hshare,I-O Coin,ION,IOTA,Komodo,LBRY Credits,LEOcoin,Lisk,Litecoin,Lykke,Metaverse ETP,MonaCoin,Monero,MonetaryUnit,Mooncoin,NAV Coin,NEM,NEO,Namecoin,Neblio,Nexus,NoLimitCoin,Nxt,OKCash,Omni,PIVX,Particl,Peercoin,PotCoin,Radium,ReddCoin,Ripple,Rise,Rubycoin,SIBCoin,SaluS,Shift,Siacoin,Skycoin,SpreadCoin,Sprouts,Steem,Stellar Lumens,Stratis,Syscoin,The ChampCoin,Ubiq,Unobtanium,Verge,Vertcoin,Viacoin,Waves,ZCoin,Zcash,ZenCash
2013-06-19,,,,,,,107.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,0.40679,,,,,,,,,0.116684,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-20,,,,,,,108.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,0.588885,,,,,,,,,0.124489,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-21,,,,,,,111.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.33,,,,,,,,,,0.567579,,,,,,,,,0.134661,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-22,,,,,,,109.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.86,,,,,,,,,,0.52779,,,,,,,,,0.125925,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-23,,,,,,,108.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,,,,,,0.56264,,,,,,,,,0.125512,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-24,,,,,,,107.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.13,,,,,,,,,,0.564317,,,,,,,,,0.121927,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-25,,,,,,,102.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85,,,,,,,,,,0.576809,,,,,,,,,0.120466,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-26,,,,,,,103.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.81,,,,,,,,,,0.588977,,,,,,,,,0.122962,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-27,,,,,,,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.88,,,,,,,,,,0.5876,,,,,,,,,0.1248,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-28,,,,,,,101.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.04,,,,,,,,,,0.567691,,,,,,,,,0.127171,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-29,,,,,,,94.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76,,,,,,,,,,0.510217,,,,,,,,,0.119272,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,,,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79,,,,,,,,,,0.511095,,,,,,,,,0.118749,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-01,,,,,,,97.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.01,,,,,,,,,,0.506077,,,,,,,,,0.121887,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-02,,,,,,,88.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95,,,,,,,,,,0.466665,,,,,,,,,0.125912,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-03,,,,,,,90.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85,,,,,,,,,,0.47553,,,,,,,,,0.144648,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-04,,,,,,,78.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.68,,,,,,,,,,0.427584,,,,,,,,,0.162513,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-05,,,,,,,79.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,,,,,,,,,,0.458343,,,,,,,,,0.16318,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-06,,,,,,,68.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.42,,,,,,,,,,0.439117,,,,,,,,,0.13975,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-07,,,,,,,68.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.46,,,,,,,,,,0.455118,,,,,,,,,0.131311,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-08,,,,,,,76.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,,,,,,,,,,0.445995,,,,,,,,,0.13464,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-09,,,,,,,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,,,,,,,,,,0.4408,,,,,,,,,0.13376,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-10,,,,,,,76.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.61,,,,,,,,,,0.448812,,,,,,,,,0.130424,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-11,,,,,,,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.84,,,,,,,,,,0.48048,,,,,,,,,0.1452,,,,,,,,,,,,,,,,,,,,,,,,,,,
